Noticias,links
Cuatro heridos deja persecución en autopista,https://www.teleantioquia.co/featured/cuatro-heridos-deja-persecucion-en-autopista/
 Leer más [...],https://www.teleantioquia.co/featured/cuatro-heridos-deja-persecucion-en-autopista/
Harán reapertura progresiva de establecimientos en Sabaneta,https://www.teleantioquia.co/featured/haran-reapertura-progresiva-de-establecimientos-en-sabaneta/
 Leer más [...],https://www.teleantioquia.co/featured/haran-reapertura-progresiva-de-establecimientos-en-sabaneta/
Titulares de Teleantioquia Noticias – miércoles 19 de agosto de 2020,https://www.teleantioquia.co/featured/titulares-de-teleantioquia-noticias-miercoles-19-de-agosto-de-2020/
 Leer más [...],https://www.teleantioquia.co/featured/titulares-de-teleantioquia-noticias-miercoles-19-de-agosto-de-2020/
Edificio en Caldas no tenía licencia de construcción,https://www.teleantioquia.co/featured/edificio-en-caldas-no-tenia-licencia-de-construccion/
 Leer más [...],https://www.teleantioquia.co/featured/edificio-en-caldas-no-tenia-licencia-de-construccion/
Reabrieron los primeros cinco restaurantes en Sabaneta,https://www.teleantioquia.co/featured/reabrieron-los-primeros-cinco-restaurantes-en-sabaneta/
 Leer más [...],https://www.teleantioquia.co/featured/reabrieron-los-primeros-cinco-restaurantes-en-sabaneta/
"




22 líderes sociales asesinados este año en Antioquia 
",https://www.teleantioquia.co/featured/22-lideres-sociales-asesinados-este-ano-en-antioquia/
"




Asesinatos y desplazamientos en Bajo Cauca 
",https://www.teleantioquia.co/featured/asesinatos-y-desplazamientos-en-bajo-cauca/
"




Mindefensa encabezó consejo de seguridad 
",https://www.teleantioquia.co/featured/mindefensa-encabezo-consejo-de-seguridad/
"




Este año van 160 desaparecidos en Medellín 
",https://www.teleantioquia.co/featured/este-ano-van-160-desaparecidos-en-medellin/
"




Museo del Nunca Más se cae a pedazos 
",https://www.teleantioquia.co/featured/museo-del-nunca-mas-se-cae-a-pedazos/
Ver todas,
